Sur	O	O	O	O
le	O	O	O	O
revers	O	O	O	O
d'	O	O	O	O
une	O	B-NOM_LOC	O	O
de	O	I-NOM_LOC	O	O
ces	B-NOM_LOC	I-NOM_LOC	O	O
collines	I-NOM_LOC	I-NOM_LOC	O	O
décharnées	I-NOM_LOC	I-NOM_LOC	O	O
qui	O	B-PRON_LOC	O	O
bossuent	O	O	O	O
les	B-PROP_GPE	O	O	O
Landes	I-PROP_GPE	O	O	O
,	O	O	O	O
entre	O	O	O	O
Dax	B-PROP_GPE	B-PROP_GPE	O	O
et	O	I-PROP_GPE	O	O
Mont	B-PROP_GPE	I-PROP_GPE	O	O
-	I-PROP_GPE	I-PROP_GPE	O	O
de	I-PROP_GPE	I-PROP_GPE	O	O
-	I-PROP_GPE	I-PROP_GPE	O	O
Marsan	I-PROP_GPE	I-PROP_GPE	O	O
,	O	O	O	O
s'	O	O	O	O
élevait	O	O	O	O
,	O	O	O	O
sous	O	O	O	O
le	O	B-NOM_TIME	O	O
règne	O	I-NOM_TIME	O	O
de	O	I-NOM_TIME	O	O
Louis	B-PROP_PER	I-NOM_TIME	O	O
Xiii	I-PROP_PER	I-NOM_TIME	O	O
,	O	O	O	O
une	O	O	B-NOM_FAC	O
de	O	O	I-NOM_FAC	O
ces	O	B-NOM_FAC	I-NOM_FAC	O
gentilhommières	O	I-NOM_FAC	I-NOM_FAC	O
si	O	I-NOM_FAC	I-NOM_FAC	O
communes	O	I-NOM_FAC	I-NOM_FAC	O
en	O	I-NOM_FAC	I-NOM_FAC	O
Gascogne	B-PROP_GPE	I-NOM_FAC	I-NOM_FAC	O
,	O	O	O	O
et	O	O	O	O
que	B-PRON_FAC	O	O	O
les	B-NOM_PER	O	O	O
villageois	I-NOM_PER	O	O	O
décorent	O	O	O	O
du	O	O	O	O
nom	O	O	O	O
de	O	O	O	O
château	O	O	O	O
.	O	O	O	O

Deux	B-NOM_FAC	O	O	O
tours	I-NOM_FAC	O	O	O
rondes	I-NOM_FAC	O	O	O
,	I-NOM_FAC	O	O	O
coiffées	I-NOM_FAC	O	O	O
de	I-NOM_FAC	O	O	O
toits	I-NOM_FAC	O	O	O
en	I-NOM_FAC	O	O	O
éteignoir	I-NOM_FAC	O	O	O
,	O	O	O	O
flanquaient	O	O	O	O
les	O	O	O	O
angles	O	O	O	O
d'	O	O	O	O
un	B-NOM_FAC	O	O	O
bâtiment	I-NOM_FAC	O	O	O
,	O	O	O	O
sur	O	O	O	O
la	O	O	O	O
façade	O	O	O	O
duquel	B-PRON_FAC	O	O	O
deux	O	O	O	O
rainures	O	O	O	O
profondément	O	O	O	O
entaillées	O	O	O	O
trahissaient	O	O	O	O
l'	O	O	O	O
existence	O	O	O	O
primitive	O	O	O	O
d'	O	O	O	O
un	O	B-NOM_FAC	O	O
pont	O	I-NOM_FAC	O	O
-	O	I-NOM_FAC	O	O
levis	O	I-NOM_FAC	O	O
réduit	O	I-NOM_FAC	O	O
à	O	I-NOM_FAC	O	O
l'	O	I-NOM_FAC	O	O
état	O	I-NOM_FAC	O	O
de	O	I-NOM_FAC	O	O
sinécure	O	I-NOM_FAC	O	O
par	O	I-NOM_FAC	O	O
le	O	I-NOM_FAC	O	O
nivelage	O	I-NOM_FAC	O	O
du	B-NOM_LOC	I-NOM_FAC	O	O
fossé	I-NOM_LOC	I-NOM_FAC	O	O
,	O	O	O	O
et	O	O	O	O
donnaient	O	O	O	O
au	B-NOM_FAC	O	O	O
manoir	I-NOM_FAC	O	O	O
un	O	O	O	O
aspect	O	O	O	O
assez	O	O	O	O
féodal	O	O	O	O
,	O	O	O	O
avec	O	O	O	O
leurs	B-NOM_FAC	O	O	O
échauguettes	I-NOM_FAC	O	O	O
en	I-NOM_FAC	O	O	O
poivrière	I-NOM_FAC	O	O	O
et	O	O	O	O
leurs	B-PRON_FAC	O	O	O
girouettes	O	O	O	O
à	O	O	O	O
queue	O	O	O	O
d'	O	O	O	O
aronde	O	O	O	O
.	O	O	O	O

Une	O	O	O	O
nappe	O	O	O	O
de	O	O	O	O
lierre	O	O	O	O
enveloppant	O	O	O	O
à	O	O	O	O
demi	O	O	O	O
l'	O	B-NOM_FAC	O	O
une	O	I-NOM_FAC	O	O
des	B-NOM_FAC	I-NOM_FAC	O	O
tours	I-NOM_FAC	I-NOM_FAC	O	O
tranchait	O	O	O	O
heureusement	O	O	O	O
par	O	O	O	O
son	O	O	O	O
vert	O	O	O	O
sombre	O	O	O	O
sur	O	O	O	O
le	O	O	O	O
ton	O	O	O	O
gris	O	O	O	O
de	O	O	O	O
la	O	O	O	O
pierre	O	O	O	O
déjà	O	O	O	O
vieille	O	O	O	O
à	O	O	O	O
cette	B-NOM_TIME	O	O	O
époque	I-NOM_TIME	O	O	O
.	O	O	O	O

Le	B-NOM_PER	O	O	O
voyageur	I-NOM_PER	O	O	O
qui	B-PRON_PER	O	O	O
eût	O	O	O	O
aperçu	O	O	O	O
de	O	O	O	O
loin	O	O	O	O
le	B-NOM_FAC	O	O	O
castel	I-NOM_FAC	O	O	O
dessinant	O	O	O	O
ses	B-PRON_FAC	O	O	O
faîtages	O	O	O	O
pointus	O	O	O	O
sur	O	O	O	O
le	B-NOM_LOC	O	O	O
ciel	I-NOM_LOC	O	O	O
,	O	O	O	O
au	O	O	O	O
-	O	O	O	O
dessus	O	O	O	O
des	O	O	O	O
genêts	O	O	O	O
et	O	O	O	O
des	O	O	O	O
bruyères	O	O	O	O
,	O	O	O	O
l'	B-NOM_FAC	O	O	O
eût	O	O	O	O
jugé	O	O	O	O
une	O	B-NOM_FAC	O	O
demeure	O	I-NOM_FAC	O	O
convenable	O	I-NOM_FAC	O	O
pour	O	I-NOM_FAC	O	O
un	B-NOM_PER	I-NOM_FAC	O	O
hobereau	I-NOM_PER	I-NOM_FAC	O	O
de	I-NOM_PER	I-NOM_FAC	O	O
province	I-NOM_PER	I-NOM_FAC	O	O
;	O	O	O	O
mais	O	O	O	O
,	O	O	O	O
en	O	O	O	O
approchant	O	O	O	O
,	O	O	O	O
son	B-PRON_PER	O	O	O
avis	O	O	O	O
se	O	O	O	O
fût	O	O	O	O
modifié	O	O	O	O
.	O	O	O	O

Le	B-NOM_FAC	O
chemin	I-NOM_FAC	O
qui	B-PRON_FAC	O
menait	O	O
de	O	O
la	B-NOM_FAC	O
route	I-NOM_FAC	O
à	O	O
l'	B-NOM_FAC	O
habitation	I-NOM_FAC	O
s'	O	O
était	O	O
réduit	O	O
,	O	O
par	O	O
l'	O	O
envahissement	O	O
de	O	O
la	O	O
mousse	O	O
et	O	O
des	O	O
végétations	O	O
parasites	O	O
,	O	O
à	O	O
un	B-NOM_FAC	O
étroit	I-NOM_FAC	O
sentier	I-NOM_FAC	O
blanc	I-NOM_FAC	O
semblable	I-NOM_FAC	O
à	I-NOM_FAC	O
un	I-NOM_FAC	O
galon	I-NOM_FAC	O
terni	I-NOM_FAC	O
sur	I-NOM_FAC	O
un	I-NOM_FAC	O
manteau	I-NOM_FAC	O
râpé	I-NOM_FAC	O
.	O	O

Deux	B-NOM_LOC	O
ornières	I-NOM_LOC	O
remplies	I-NOM_LOC	O
d'	I-NOM_LOC	O
eau	I-NOM_LOC	O
de	I-NOM_LOC	O
pluie	I-NOM_LOC	O
et	I-NOM_LOC	O
habitées	I-NOM_LOC	O
par	I-NOM_LOC	O
des	I-NOM_LOC	O
grenouilles	I-NOM_LOC	O
témoignaient	O	O
qu'	O	O
anciennement	O	O
des	B-NOM_VEH	O
voitures	I-NOM_VEH	O
avaient	O	O
passé	O	O
par	O	O
là	O	O
;	O	O
mais	O	O
la	O	O
sécurité	O	O
de	O	O
ces	O	O
batraciens	O	O
montrait	O	O
une	O	O
longue	O	O
possession	O	O
et	O	O
la	O	O
certitude	O	O
de	O	O
n'	O	O
être	O	O
pas	O	O
dérangés	O	O
.	O	O

—	O	O
Sur	O	O
la	B-NOM_LOC	O
bande	I-NOM_LOC	O
frayée	I-NOM_LOC	O
à	I-NOM_LOC	O
travers	I-NOM_LOC	O
les	I-NOM_LOC	O
mauvaises	I-NOM_LOC	O
herbes	I-NOM_LOC	O
,	O	O
et	O	O
détrempée	O	O
par	O	O
une	O	O
averse	O	O
récente	O	O
,	O	O
on	O	O
ne	O	O
voyait	O	O
aucune	O	O
empreinte	O	O
de	O	O
pas	O	O
humain	O	O
,	O	O
et	O	O
les	O	O
brindilles	O	O
de	O	O
broussailles	O	O
,	O	O
chargées	O	O
de	O	O
gouttelettes	O	O
brillantes	O	O
,	O	O
ne	O	O
paraissaient	O	O
pas	O	O
avoir	O	O
été	O	O
écartées	O	O
depuis	O	O
longtemps	O	O
.	O	O

Des	O	O	O	O
pierrailles	O	O	O	O
remplissaient	O	O	O	O
les	O	B-NOM_FAC	O	O
barbacanes	O	I-NOM_FAC	O	O
des	B-NOM_FAC	I-NOM_FAC	O	O
tours	I-NOM_FAC	I-NOM_FAC	O	O
;	O	O	O	O
sur	O	O	O	O
les	O	O	O	O
douze	O	O	O	O
fenêtres	O	O	O	O
de	O	O	O	O
la	O	O	O	O
façade	O	O	O	O
,	O	O	O	O
il	O	O	O	O
y	O	O	O	O
en	O	O	O	O
avait	O	O	O	O
huit	O	O	O	O
barrées	O	O	O	O
par	O	O	O	O
des	O	O	O	O
planches	O	O	O	O
;	O	O	O	O
les	O	O	O	O
deux	O	O	O	O
autres	O	O	O	O
montraient	O	O	O	O
des	O	O	O	O
vitres	O	O	O	O
bouillonnées	O	O	O	O
,	O	O	O	O
tremblant	O	O	O	O
,	O	O	O	O
à	O	O	O	O
la	O	O	O	O
moindre	O	O	O	O
pression	O	O	O	O
de	O	O	O	O
la	O	O	O	O
bise	O	O	O	O
,	O	O	O	O
dans	O	O	O	O
leur	O	O	O	O
réseau	O	O	O	O
de	O	O	O	O
plomb	O	O	O	O
.	O	O	O	O

Entre	O	O
ces	O	O
fenêtres	O	O
,	O	O
le	O	O
crépi	O	O
,	O	O
tombé	O	O
par	O	O
écailles	O	O
comme	O	O
les	O	O
squames	O	O
d'	O	O
une	O	O
peau	O	O
malade	O	O
,	O	O
mettait	O	O
à	O	O
nu	O	O
des	O	O
briques	O	O
disjointes	O	O
,	O	O
des	O	O
moellons	O	O
effrités	O	O
aux	O	O
pernicieuses	O	O
influences	O	O
de	O	O
la	B-NOM_LOC	O
lune	I-NOM_LOC	O
;	O	O
la	O	O
porte	O	O
,	O	O
encadrée	O	O
d'	O	O
un	O	O
linteau	O	O
de	O	O
pierre	O	O
,	O	O
dont	O	O
les	O	O
rugosités	O	O
régulières	O	O
indiquaient	O	O
une	O	O
ancienne	O	O
ornementation	O	O
émoussée	O	O
par	O	O
le	O	O
temps	O	O
et	O	O
l'	O	O
incurie	O	O
,	O	O
était	O	O
surmontée	O	O
d'	O	O
un	O	O
blason	O	O
fruste	O	O
que	O	O
le	B-NOM_PER	O
plus	I-NOM_PER	O
habile	I-NOM_PER	O
héraut	I-NOM_PER	O
d'	I-NOM_PER	O
armes	I-NOM_PER	O
eût	O	O
été	O	O
impuissant	O	O
à	O	O
déchiffrer	O	O
et	O	O
dont	O	O
les	O	O
lambrequins	O	O
se	O	O
contournaient	O	O
fantasquement	O	O
,	O	O
non	O	O
sans	O	O
de	O	O
nombreuses	O	O
solutions	O	O
de	O	O
continuité	O	O
.	O	O

Un	O	O	O	O
seul	O	O	O	O
battant	O	O	O	O
s'	O	O	O	O
ouvrait	O	O	O	O
et	O	O	O	O
suffisait	O	O	O	O
à	O	O	O	O
la	O	O	O	O
circulation	O	O	O	O
des	O	B-NOM_PER	O	O
hôtes	O	I-NOM_PER	O	O
